year,month,date,cluster_1,cluster_2,cluster_3,cluster_4
1950,1,1950-01-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1950,2,1950-02-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1950,12,1950-12-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1951,1,1951-01-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1951,2,1951-02-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1951,12,1951-12-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1952,1,1952-01-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1952,2,1952-02-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1952,12,1952-12-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1953,1,1953-01-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1953,2,1953-02-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1953,12,1953-12-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1954,1,1954-01-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1954,2,1954-02-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1954,12,1954-12-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1955,1,1955-01-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1955,2,1955-02-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1955,12,1955-12-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1956,1,1956-01-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1956,2,1956-02-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1956,12,1956-12-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1957,1,1957-01-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1957,2,1957-02-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1957,12,1957-12-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1958,1,1958-01-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1958,2,1958-02-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1958,12,1958-12-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1959,1,1959-01-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1959,2,1959-02-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1959,12,1959-12-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1960,1,1960-01-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1960,2,1960-02-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1960,12,1960-12-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1961,1,1961-01-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1961,2,1961-02-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1961,12,1961-12-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1962,1,1962-01-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1962,2,1962-02-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1962,12,1962-12-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1963,1,1963-01-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1963,2,1963-02-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1963,12,1963-12-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1964,1,1964-01-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1964,2,1964-02-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1964,12,1964-12-15,-0.6172580461936706,1.1416800593332777,-0.6172580461936716,-0.11624998696749098
1965,1,1965-01-15,-0.6172580461936706,1.1416800593332777,-0.6172580461936716,-0.11624998696749098
1965,2,1965-02-15,-0.6172580461936706,1.1416800593332777,-0.6172580461936716,-0.11624998696749098
1965,12,1965-12-15,-0.6172580461936706,1.1416800593332777,-0.6172580461936716,-0.11624998696749098
1966,1,1966-01-15,-0.6172580461936706,1.1416800593332777,-0.6172580461936716,-0.11624998696749098
1966,2,1966-02-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1966,12,1966-12-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1967,1,1967-01-15,-0.6172580461936706,-0.8719918563411648,1.612835540054432,-0.11624998696749098
1967,2,1967-02-15,1.6128355400544296,-0.8719918563411648,-0.6172580461936716,-0.11624998696749098
1967,12,1967-12-15,-0.6172580461936706,1.1416800593332777,-0.6172580461936716,-0.11624998696749098
