year,month,frequency,index_value,binary_index,cluster_count,total_count,similarity
1980,1,1.0,1.1416800593332777,1.0,1,1,100.0
1980,2,1.0,1.1416800593332777,1.0,1,1,100.0
1980,12,1.0,1.1416800593332777,1.0,1,1,100.0
1981,1,1.0,1.1416800593332777,1.0,1,1,100.0
1981,2,1.0,1.1416800593332777,1.0,1,1,100.0
1981,12,0.0,-0.8719918563411648,0.0,0,1,0.0
1982,1,1.0,1.1416800593332777,1.0,1,1,100.0
1982,2,1.0,1.1416800593332777,1.0,1,1,100.0
1982,12,1.0,1.1416800593332777,1.0,1,1,100.0
1983,1,1.0,1.1416800593332777,1.0,1,1,100.0
1983,2,1.0,1.1416800593332777,1.0,1,1,100.0
1983,12,1.0,1.1416800593332777,1.0,1,1,100.0
1984,1,1.0,1.1416800593332777,1.0,1,1,100.0
1984,2,1.0,1.1416800593332777,1.0,1,1,100.0
1984,12,1.0,1.1416800593332777,1.0,1,1,100.0
1985,1,1.0,1.1416800593332777,1.0,1,1,100.0
1985,2,1.0,1.1416800593332777,1.0,1,1,100.0
1985,12,1.0,1.1416800593332777,1.0,1,1,100.0
1986,1,1.0,1.1416800593332777,1.0,1,1,100.0
1986,2,1.0,1.1416800593332777,1.0,1,1,100.0
1986,12,1.0,1.1416800593332777,1.0,1,1,100.0
1987,1,1.0,1.1416800593332777,1.0,1,1,100.0
1987,2,1.0,1.1416800593332777,1.0,1,1,100.0
1987,12,0.0,-0.8719918563411648,0.0,0,1,0.0
1988,1,0.0,-0.8719918563411648,0.0,0,1,0.0
1988,2,1.0,1.1416800593332777,1.0,1,1,100.0
1988,12,1.0,1.1416800593332777,1.0,1,1,100.0
1989,1,1.0,1.1416800593332777,1.0,1,1,100.0
1989,2,1.0,1.1416800593332777,1.0,1,1,100.0
1989,12,1.0,1.1416800593332777,1.0,1,1,100.0
1990,1,1.0,1.1416800593332777,1.0,1,1,100.0
1990,2,1.0,1.1416800593332777,1.0,1,1,100.0
1990,12,1.0,1.1416800593332777,1.0,1,1,100.0
1991,1,1.0,1.1416800593332777,1.0,1,1,100.0
1991,2,1.0,1.1416800593332777,1.0,1,1,100.0
1991,12,1.0,1.1416800593332777,1.0,1,1,100.0
1992,1,1.0,1.1416800593332777,1.0,1,1,100.0
1992,2,1.0,1.1416800593332777,1.0,1,1,100.0
1992,12,1.0,1.1416800593332777,1.0,1,1,100.0
1993,1,1.0,1.1416800593332777,1.0,1,1,100.0
1993,2,1.0,1.1416800593332777,1.0,1,1,100.0
1993,12,1.0,1.1416800593332777,1.0,1,1,100.0
