year,month,frequency,index_value,binary_index,cluster_count,total_count,similarity
1950,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1950,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1950,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1951,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1951,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1951,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1952,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1952,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1952,12,1.0,1.612835540054432,1.0,1,1,100.0
1953,1,1.0,1.612835540054432,1.0,1,1,100.0
1953,2,1.0,1.612835540054432,1.0,1,1,100.0
1953,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1954,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1954,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1954,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1955,1,1.0,1.612835540054432,1.0,1,1,100.0
1955,2,1.0,1.612835540054432,1.0,1,1,100.0
1955,12,1.0,1.612835540054432,1.0,1,1,100.0
1956,1,1.0,1.612835540054432,1.0,1,1,100.0
1956,2,1.0,1.612835540054432,1.0,1,1,100.0
1956,12,1.0,1.612835540054432,1.0,1,1,100.0
1957,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1957,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1957,12,1.0,1.612835540054432,1.0,1,1,100.0
1958,1,1.0,1.612835540054432,1.0,1,1,100.0
1958,2,1.0,1.612835540054432,1.0,1,1,100.0
1958,12,1.0,1.612835540054432,1.0,1,1,100.0
1959,1,1.0,1.612835540054432,1.0,1,1,100.0
1959,2,1.0,1.612835540054432,1.0,1,1,100.0
1959,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1960,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1960,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1960,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1961,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1961,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1961,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1962,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1962,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1962,12,1.0,1.612835540054432,1.0,1,1,100.0
1963,1,1.0,1.612835540054432,1.0,1,1,100.0
1963,2,1.0,1.612835540054432,1.0,1,1,100.0
1963,12,1.0,1.612835540054432,1.0,1,1,100.0
1964,1,1.0,1.612835540054432,1.0,1,1,100.0
1964,2,1.0,1.612835540054432,1.0,1,1,100.0
1964,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1965,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1965,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1965,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1966,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1966,2,1.0,1.612835540054432,1.0,1,1,100.0
1966,12,1.0,1.612835540054432,1.0,1,1,100.0
1967,1,1.0,1.612835540054432,1.0,1,1,100.0
1967,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1967,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1968,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1968,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1968,12,1.0,1.612835540054432,1.0,1,1,100.0
1969,1,1.0,1.612835540054432,1.0,1,1,100.0
1969,2,1.0,1.612835540054432,1.0,1,1,100.0
1969,12,1.0,1.612835540054432,1.0,1,1,100.0
1970,1,1.0,1.612835540054432,1.0,1,1,100.0
1970,2,1.0,1.612835540054432,1.0,1,1,100.0
1970,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1971,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1971,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1971,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1972,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1972,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1972,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1973,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1973,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1973,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1974,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1974,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1974,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1975,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1975,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1975,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1976,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1976,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1976,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1977,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1977,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1977,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1978,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1978,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1978,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1979,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1979,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1979,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1980,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1980,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1980,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1981,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1981,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1981,12,1.0,1.612835540054432,1.0,1,1,100.0
1982,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1982,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1982,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1983,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1983,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1983,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1984,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1984,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1984,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1985,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1985,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1985,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1986,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1986,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1986,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1987,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1987,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1987,12,1.0,1.612835540054432,1.0,1,1,100.0
1988,1,1.0,1.612835540054432,1.0,1,1,100.0
1988,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1988,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1989,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1989,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1989,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1990,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1990,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1990,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1991,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1991,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1991,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1992,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1992,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1992,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1993,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1993,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1993,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1994,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1994,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1994,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1995,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1995,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1995,12,1.0,1.612835540054432,1.0,1,1,100.0
1996,1,1.0,1.612835540054432,1.0,1,1,100.0
1996,2,1.0,1.612835540054432,1.0,1,1,100.0
1996,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1997,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1997,2,1.0,1.612835540054432,1.0,1,1,100.0
1997,12,1.0,1.612835540054432,1.0,1,1,100.0
1998,1,1.0,1.612835540054432,1.0,1,1,100.0
1998,2,1.0,1.612835540054432,1.0,1,1,100.0
1998,12,0.0,-0.6172580461936716,0.0,0,1,0.0
1999,1,0.0,-0.6172580461936716,0.0,0,1,0.0
1999,2,0.0,-0.6172580461936716,0.0,0,1,0.0
1999,12,0.0,-0.6172580461936716,0.0,0,1,0.0
2000,1,0.0,-0.6172580461936716,0.0,0,1,0.0
2000,2,0.0,-0.6172580461936716,0.0,0,1,0.0
2000,12,0.0,-0.6172580461936716,0.0,0,1,0.0
2001,1,0.0,-0.6172580461936716,0.0,0,1,0.0
2001,2,0.0,-0.6172580461936716,0.0,0,1,0.0
2001,12,1.0,1.612835540054432,1.0,1,1,100.0
2002,1,1.0,1.612835540054432,1.0,1,1,100.0
2002,2,1.0,1.612835540054432,1.0,1,1,100.0
2002,12,0.0,-0.6172580461936716,0.0,0,1,0.0
2003,1,1.0,1.612835540054432,1.0,1,1,100.0
